what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1228823936087
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1228823936088
stopped,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1228823936088
stopped,bundle,org.eclipse.tptp.monitoring.examples,4.5.0.v200805120832,org.eclipse.tptp.monitoring.examples,1228823936088
stopped,bundle,org.eclipse.hyades.trace.sample,4.1.301.v200802290100,org.eclipse.hyades.trace.sample,1228823936089
stopped,bundle,org.eclipse.hyades.ui,4.2.200.v200804170100,org.eclipse.hyades.ui,1228823936090
stopped,bundle,org.eclipse.stp.sc.sca.java.tuscany,0.9.0.200806121858,org.eclipse.stp.sc.sca.java.tuscany,1228823936090
stopped,bundle,org.eclipse.stp.sc.sca.java,0.9.0.200806121858,org.eclipse.stp.sc.sca.java,1228823936091
stopped,bundle,org.eclipse.stp.sc.annvalidator,0.9.0.200806121858,org.eclipse.stp.sc.annvalidator,1228823936091
stopped,bundle,org.eclipse.stp.sc.xmlvalidator,0.9.0.200806121858,org.eclipse.stp.sc.xmlvalidator,1228823936092
stopped,bundle,org.eclipse.stp.soas.deploy.runtime.tuscany,0.8.0.200806121858,org.eclipse.stp.soas.deploy.runtime.tuscany,1228823936092
stopped,bundle,org.eclipse.stp.sc.sca,0.9.0.200806121858,org.eclipse.stp.sc.sca,1228823936093
stopped,bundle,org.eclipse.stp.soas.deploy.core,0.8.0.200806121858,org.eclipse.stp.soas.deploy.core,1228823936093
stopped,bundle,org.eclipse.stp.soas.deploy.runtime.jaxwsri,0.8.0.200806121858,org.eclipse.stp.soas.deploy.runtime.jaxwsri,1228823936093
stopped,bundle,org.eclipse.stp.sc.common,0.9.0.200806121858,org.eclipse.stp.sc.common,1228823936094
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.1.0.v20080515,org.eclipse.jst.jsf.standard.tagsupport,1228823936094
stopped,bundle,org.eclipse.jst.jsf.core,1.1.0.v20080606,org.eclipse.jst.jsf.core,1228823936094
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.1.0.v20080605,org.eclipse.jst.pagedesigner.jsp.core,1228823936095
stopped,bundle,org.eclipse.jst.jsf.common,1.1.0.v20080605,org.eclipse.jst.jsf.common,1228823936095
stopped,bundle,org.eclipse.gmf.bridge.ui.dashboard,2.0.0.v20080417-1610,org.eclipse.gmf.bridge.ui.dashboard,1228823936096
stopped,bundle,org.eclipse.gmf.bridge.ui,1.1.100.v20080417-1610,org.eclipse.gmf.bridge.ui,1228823936097
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.102.v200806010600,org.eclipse.jst.common.annotations.ui,1228823936097
stopped,bundle,org.eclipse.stp.sca.implementation.sca,1.0.0.200806121858,org.eclipse.stp.sca.implementation.sca,1228823936098
stopped,bundle,org.eclipse.stp.sca.implementation.java,1.0.0.200806121858,org.eclipse.stp.sca.implementation.java,1228823936098
stopped,bundle,org.eclipse.stp.sca.diagram,1.0.0.200806121858,org.eclipse.stp.sca.diagram,1228823936101
